iter	Passed	Remaining
271	309	828
272	310	826
273	311	825
274	312	823
275	313	822
276	314	821
277	315	820
278	316	818
279	317	817
280	318	815
281	319	813
282	320	812
283	322	811
284	323	811
285	324	810
286	325	809
287	327	808
288	328	807
289	329	806
290	330	805
291	331	803
292	332	802
293	333	800
294	334	798
295	335	797
296	336	795
297	337	794
298	339	795
299	340	794
300	341	793
301	342	792
302	343	791
303	345	790
304	346	789
305	347	788
306	348	786
307	349	785
308	350	784
309	351	783
310	353	782
311	354	782
312	356	781
313	357	780
314	358	780
315	359	778
316	360	777
317	362	776
318	363	775
319	364	773
320	365	772
321	366	770
322	366	769
323	368	768
324	370	769
325	371	767
326	372	766
327	373	765
328	374	764
329	375	762
330	376	761
331	377	759
332	378	758
333	379	756
334	380	755
335	381	753
336	382	752
337	384	752
338	385	752
339	386	751
340	388	749
341	388	748
342	389	746
343	390	745
344	391	743
345	392	742
346	393	740
347	394	739
348	395	737
349	396	736
350	397	734
351	398	733
352	399	733
353	401	732
354	402	731
355	403	730
356	404	729
357	406	728
358	407	726
359	408	725
360	409	724
361	410	722
362	411	721
363	412	720
364	413	718
365	414	718
366	416	718
367	417	717
368	418	716
369	419	714
370	421	713
371	422	712
372	423	711
373	424	710
374	425	709
375	426	707
376	427	706
377	428	705
378	429	704
379	431	704
380	432	703
381	434	702
382	435	700
383	436	699
384	436	698
385	437	696
386	439	695
387	440	694
388	441	692
389	442	691
390	443	690
391	443	688
392	444	687
393	445	685
394	447	685
395	448	684
396	449	682
397	450	681
398	451	680
399	452	678
400	453	677
401	454	676
402	455	675
403	457	674
404	458	673
405	459	671
406	460	670
407	461	669
408	462	668
409	464	667
410	465	666
411	466	665
412	467	663
413	467	662
414	468	660
415	469	659
416	470	658
417	471	656
418	472	655
419	473	654
420	474	652
421	475	651
422	477	651
423	479	650
424	480	649
425	481	648
426	482	646
427	482	645
428	483	643
429	484	642
430	485	641
431	486	639
432	487	638
433	488	637
434	489	635
435	490	634
436	491	633
437	493	633
438	495	632
439	496	631
440	497	630
441	498	629
442	499	627
443	500	626
444	501	625
445	502	623
446	503	622
447	503	620
448	504	619
449	505	618
450	506	616
451	507	615
452	509	615
453	511	614
454	512	613
455	513	612
456	514	610
457	515	609
458	516	608
459	517	607
460	518	605
461	518	604
462	519	603
463	520	601
464	521	600
465	522	599
466	524	599
467	526	598
468	527	596
469	528	595
470	529	594
471	530	593
472	531	591
473	532	590
474	533	589
475	534	588
476	535	587
477	536	585
478	537	584
479	539	584
480	540	583
481	542	582
482	543	581
483	544	580
484	546	579
485	547	578
486	548	577
487	549	576
488	550	575
489	551	573
490	552	572
491	553	571
492	555	571
493	556	570
494	557	568
495	558	567
496	559	566
497	560	565
498	562	564
499	563	563
500	564	561
501	564	560
502	565	559
503	566	557
504	567	556
505	569	555
506	571	555
507	572	554
508	573	553
509	574	552
510	575	550
511	576	549
512	577	548
513	578	546
514	579	545
515	580	544
516	581	543
517	582	541
518	583	540
519	585	540
520	586	539
521	588	538
522	589	537
523	590	536
524	591	534
525	592	533
526	593	532
527	593	530
528	594	529
529	595	528
530	596	527
531	597	525
532	598	524
533	599	523
534	600	522
535	602	521
536	603	520
537	604	519
538	605	518
539	606	516
540	607	515
541	608	514
542	609	513
543	610	511
544	611	510
545	612	509
546	613	508
547	614	507
548	615	505
549	617	504
550	618	503
551	619	502
552	620	501
553	621	500
554	622	499
555	623	498
556	625	497
557	626	495
558	627	494
559	628	493
560	629	492
561	632	492
562	633	491
563	634	490
564	635	488
565	635	487
566	636	486
567	637	485
568	638	483
569	640	482
570	641	481
571	642	480
572	643	479
573	644	478
574	645	476
575	646	476
576	648	475
577	649	474
578	650	473
579	651	472
580	652	470
581	653	469
582	654	468
583	656	467
584	657	466
585	658	465
586	659	463
587	660	462
588	661	461
589	662	460
590	663	459
591	664	458
592	665	457
593	667	455
594	668	454
595	669	453
596	670	452
597	671	451
598	672	449
599	672	448
600	673	447
601	674	446
602	675	445
603	677	443
604	679	443
605	680	442
606	681	441
607	682	440
608	683	438
609	684	437
610	685	436
611	686	435
612	687	434
613	688	432
614	689	431
615	690	430
616	691	429
617	692	427
618	693	426
619	695	426
620	696	425
621	697	423
622	698	422
623	699	421
624	700	420
625	701	419
626	702	417
627	703	416
628	704	415
629	705	414
630	706	413
631	707	412
632	710	412
633	712	411
634	713	410
635	714	409
636	716	408
637	717	407
638	718	406
639	720	405
640	721	404
641	722	403
642	725	402
643	726	401
644	728	400
645	729	399
646	730	398
647	732	397
648	733	396
649	735	395
650	736	395
651	738	394
652	739	393
653	741	392
654	742	391
655	744	390
656	745	389
657	747	388
658	748	387
659	749	386
660	750	385
661	751	383
662	753	382
663	754	381
664	757	381
665	758	380
666	760	379
667	761	378
668	762	377
669	763	376
670	765	375
671	766	374
672	767	373
673	768	371
674	770	370
675	773	370
676	774	369
677	776	368
678	777	367
679	778	366
680	780	365
681	781	364
682	782	363
683	783	362
684	784	360
685	786	359
686	787	358
687	789	357
688	790	356
689	791	355
690	792	354
691	793	353
692	795	352
693	796	351
694	797	350
695	799	348
696	800	347
697	801	346
698	804	346
699	805	345
700	806	344
701	808	343
702	810	342
703	811	341
704	812	340
705	814	339
706	815	337
707	816	336
708	819	336
709	820	335
710	822	334
711	823	333
712	825	332
713	826	331
714	828	330
715	829	328
716	830	327
717	831	326
718	832	325
719	833	324
720	836	323
721	837	322
722	838	321
723	839	319
724	840	318
725	841	317
726	842	316
727	843	315
728	844	313
729	845	312
730	846	311
731	847	310
732	850	309
733	851	308
734	853	307
735	854	306
736	855	305
737	856	304
738	857	302
739	858	301
740	859	300
741	860	299
742	861	298
743	862	296
744	863	295
745	864	294
746	866	293
747	867	292
748	868	291
749	869	289
750	870	288
751	871	287
752	873	286
753	874	285
754	875	283
755	876	282
756	877	281
757	878	280
758	879	279
759	882	278
760	883	277
761	884	276
762	885	275
763	886	273
764	887	272
765	888	271
766	889	270
767	890	269
768	891	267
769	892	266
770	893	265
771	894	264
772	897	263
773	898	262
774	899	261
775	900	259
776	901	258
777	902	257
778	903	256
779	904	255
780	905	254
781	906	252
782	907	251
783	909	250
784	910	249
785	912	248
786	913	247
787	914	246
788	915	244
789	916	243
790	918	242
791	919	241
792	920	240
793	921	239
794	922	238
795	924	236
796	925	235
797	927	234
798	929	233
799	930	232
800	931	231
801	932	230
802	933	228
803	934	227
804	935	226
805	936	225
806	937	224
807	939	223
808	940	221
809	941	220
810	943	219
811	944	218
812	945	217
813	946	216
814	947	215
815	949	213
816	950	212
817	951	211
818	952	210
819	953	209
820	954	208
821	955	206
822	956	205
823	957	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	971	189
837	972	187
838	974	186
839	975	185
840	976	184
841	977	183
842	978	182
843	979	181
844	980	179
845	981	178
846	982	177
847	983	176
848	984	175
849	985	173
850	986	172
851	987	171
852	989	170
853	990	169
854	992	168
855	993	167
856	994	165
857	995	164
858	995	163
859	996	162
860	997	161
861	998	159
862	999	158
863	1000	157
864	1001	156
865	1002	155
866	1003	153
867	1005	152
868	1007	151
869	1008	150
870	1009	149
871	1011	148
872	1012	147
873	1013	146
874	1014	144
875	1015	143
876	1016	142
877	1017	141
878	1018	140
879	1020	139
880	1022	138
881	1023	136
882	1024	135
883	1025	134
884	1026	133
885	1027	132
886	1028	131
887	1029	129
888	1030	128
889	1031	127
890	1032	126
891	1033	125
892	1034	123
893	1035	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1044	113
902	1045	112
903	1046	111
904	1047	109
905	1048	108
906	1049	107
907	1050	106
908	1052	105
909	1053	104
910	1054	103
911	1055	101
912	1056	100
913	1058	99
914	1059	98
915	1060	97
916	1061	96
917	1062	94
918	1063	93
919	1064	92
920	1065	91
921	1067	90
922	1068	89
923	1069	88
924	1071	86
925	1072	85
926	1073	84
927	1074	83
928	1075	82
929	1076	81
930	1077	79
931	1078	78
932	1078	77
933	1079	76
934	1081	75
935	1083	74
936	1084	72
937	1085	71
938	1086	70
939	1087	69
940	1088	68
941	1089	67
942	1091	65
943	1092	64
944	1093	63
945	1094	62
946	1095	61
947	1096	60
948	1098	59
949	1099	57
950	1100	56
951	1101	55
952	1102	54
953	1103	53
954	1105	52
955	1106	50
956	1107	49
957	1108	48
958	1109	47
959	1110	46
960	1112	45
961	1113	44
962	1115	42
963	1116	41
964	1117	40
965	1118	39
966	1119	38
967	1120	37
968	1121	35
969	1122	34
970	1123	33
971	1124	32
972	1125	31
973	1126	30
974	1128	28
975	1129	27
976	1130	26
977	1132	25
978	1133	24
979	1134	23
980	1135	21
981	1136	20
982	1137	19
983	1138	18
984	1139	17
985	1141	16
986	1143	15
987	1144	13
988	1145	12
989	1147	11
990	1148	10
991	1149	9
992	1151	8
993	1152	6
994	1153	5
995	1154	4
996	1155	3
997	1156	2
998	1158	1
999	1160	0
