iter	RMSE
249	0.3445727973
250	0.3442473186
251	0.3439972903
252	0.3437729742
253	0.3435535593
254	0.3433634992
255	0.3431954149
256	0.3430283769
257	0.3429130767
258	0.3427945687
259	0.3426582906
260	0.3424767844
261	0.3422668217
262	0.3420571571
263	0.3418304945
264	0.3416784313
265	0.3415254119
266	0.3414645752
267	0.3412074884
268	0.3410376241
269	0.340908677
270	0.340640881
271	0.3404064815
272	0.3400809996
273	0.3396171079
274	0.3394430851
275	0.3393116602
276	0.3391809301
277	0.3389367407
278	0.338805051
279	0.3386788868
280	0.3385355034
281	0.3383889615
282	0.3381253434
283	0.3378265042
284	0.3376861713
285	0.3375630921
286	0.3373667151
287	0.3371936543
288	0.3369839825
289	0.3368299097
290	0.3366280646
291	0.3364382034
292	0.3362573311
293	0.3361332019
294	0.3359780109
295	0.3358105831
296	0.3355550839
297	0.3354256357
298	0.3352684218
299	0.335048336
300	0.3349517933
301	0.3348437424
302	0.3347600465
303	0.3345245328
304	0.334320338
305	0.3341512567
306	0.3340184297
307	0.3338843702
308	0.3337247514
309	0.3335147265
310	0.3333989321
311	0.3332753108
312	0.3329724425
313	0.3328825445
314	0.3327677541
315	0.3326271443
316	0.3323953174
317	0.3322326479
318	0.3321332292
319	0.3319313663
320	0.3316995457
321	0.3315935833
322	0.3314394265
323	0.3311868877
324	0.3310316122
325	0.3308845313
326	0.3305520842
327	0.3302798434
328	0.3301742759
329	0.3300175735
330	0.3298865978
331	0.3297209534
332	0.3295685768
333	0.3294197905
334	0.3292559319
335	0.3290081925
336	0.3288974065
337	0.3286022787
338	0.3284208369
339	0.3282834525
340	0.3281927161
341	0.3280827146
342	0.3279993069
343	0.3278860352
344	0.3276964202
345	0.3275507363
346	0.3273861854
347	0.32717215
348	0.3270761528
349	0.3268311015
350	0.3266639953
351	0.3265098985
352	0.3264343161
353	0.3262119106
354	0.3259834622
355	0.3258473961
356	0.3257371506
357	0.3256157029
358	0.3253838919
359	0.3250913368
360	0.3249881575
361	0.3248728148
362	0.3246443687
363	0.3244826223
364	0.3243152771
365	0.3241962874
366	0.3240468454
367	0.323890931
368	0.323746765
369	0.3236323104
370	0.3235504905
371	0.323307176
372	0.3231922901
373	0.3230460546
374	0.3227748194
375	0.3225653278
376	0.322471597
377	0.3222857333
378	0.3221182568
379	0.3219733268
380	0.3218745804
381	0.3217293113
382	0.3215736513
383	0.3214707368
384	0.3212258459
385	0.3211488154
386	0.3210624065
387	0.3209647612
388	0.3208114606
389	0.3206956581
390	0.3205468963
391	0.3204496798
392	0.3202599957
393	0.3201076739
394	0.3200167924
395	0.3198803012
396	0.3197363961
397	0.3196205559
398	0.3194829196
399	0.3193245417
400	0.3192275587
401	0.3191371289
402	0.319003522
403	0.318763571
404	0.3186884587
405	0.3185939227
406	0.3185046422
407	0.3183077217
408	0.3182272547
409	0.3181350523
410	0.3179894296
411	0.3178036118
412	0.3176966927
413	0.3175619213
414	0.317377127
415	0.3172996591
416	0.3171755004
417	0.3170372095
418	0.3169514599
419	0.3167994234
420	0.316577227
421	0.3163940739
422	0.3162969067
423	0.3161644532
424	0.3160967942
425	0.3159525169
426	0.315823178
427	0.3157425315
428	0.315647185
429	0.3155703188
430	0.3154398561
431	0.3152988525
432	0.3151378829
433	0.3150331322
434	0.3149330894
435	0.314806882
436	0.314732325
437	0.3146677569
438	0.3145176024
439	0.3144004943
440	0.3142792857
441	0.3141402965
442	0.3140154772
443	0.313933354
444	0.3138126102
445	0.3137574389
446	0.3137065307
447	0.3135607757
448	0.3134447742
449	0.3133025378
450	0.3131706416
451	0.3130497425
452	0.3128214898
453	0.3126881514
454	0.3126098776
455	0.3125119636
456	0.3124010826
457	0.3122872946
458	0.3121639817
459	0.3120096915
460	0.3118911298
461	0.311807568
462	0.311733519
463	0.3116507002
464	0.311492951
465	0.3113661448
466	0.3112108859
467	0.3109922012
468	0.3108254278
469	0.3106846497
470	0.3104811084
471	0.3103747351
472	0.3102938746
473	0.3102243717
474	0.3101554255
475	0.3100971849
476	0.310025061
477	0.3098786856
478	0.3097992149
479	0.3097443025
480	0.309575245
481	0.3094306007
482	0.3093214429
483	0.309231754
484	0.3090099986
485	0.3089543922
486	0.3087768157
487	0.3086795807
488	0.3086298885
489	0.3084967952
490	0.3084272343
491	0.3083479097
492	0.308201071
493	0.3080979923
494	0.3080190161
495	0.3079262948
496	0.3078423245
497	0.3077508821
498	0.3076299487
499	0.3075216734
500	0.3074580325
501	0.3072912421
502	0.3072256504
503	0.3071080346
504	0.306981589
505	0.3068197888
506	0.3066368494
507	0.3065292178
508	0.3064978907
509	0.3063983468
510	0.3062577012
511	0.3061299536
512	0.306042172
513	0.3059493895
514	0.3058111827
515	0.3057150955
516	0.3056310045
517	0.305543981
518	0.3053539787
519	0.3052952054
520	0.3052085878
521	0.3050391164
522	0.3049346369
523	0.3048039346
524	0.3046733789
525	0.3045831591
526	0.3044489361
527	0.3043566898
528	0.3042432073
529	0.3041545708
530	0.3040724068
531	0.3039234188
532	0.3038075337
533	0.3036752398
534	0.3035821158
535	0.3035129489
536	0.303339476
537	0.3032885768
538	0.3032316852
539	0.3031351704
540	0.3030815161
541	0.303015378
542	0.3029207511
543	0.3028087889
544	0.3027477548
545	0.3026434885
546	0.3024871408
547	0.3022975115
548	0.3021706686
549	0.3020091711
550	0.3018897831
551	0.3017927471
552	0.3016703543
553	0.3015902187
554	0.3014892429
555	0.3013931681
556	0.3013530963
557	0.3012905333
558	0.3011710889
559	0.30109282
560	0.301011559
561	0.3008657149
562	0.3007858845
563	0.3007172306
564	0.3006296284
565	0.3005811423
566	0.3004362668
567	0.3003485215
568	0.300256319
569	0.3001590351
570	0.3000150899
571	0.2998769876
572	0.2997756898
573	0.2996790919
574	0.2995773014
575	0.2994443965
576	0.2993288262
577	0.2991626563
578	0.2990861392
579	0.2990157717
580	0.2989013055
581	0.2987460321
582	0.2986289503
583	0.2985415058
584	0.2984182912
585	0.2983129706
586	0.2982571806
587	0.2981576396
588	0.2980790702
589	0.2979881612
590	0.297911865
591	0.297855075
592	0.2976887099
593	0.2975442893
594	0.2974152819
595	0.2973020173
596	0.2971947841
597	0.2970864459
598	0.2969718197
599	0.2969340566
600	0.2968591528
601	0.2966805836
602	0.2966251875
603	0.296571977
604	0.2964585989
605	0.2963941834
606	0.2963487156
607	0.2962707151
608	0.2962097147
609	0.2960969089
610	0.2959844218
611	0.2958672304
612	0.2958103369
613	0.2957428392
614	0.2956261032
615	0.2955410238
616	0.2954455159
617	0.2953720331
618	0.2952471392
619	0.2951328486
620	0.2950234918
621	0.2949600511
622	0.2949126924
623	0.2948582265
624	0.2947544885
625	0.2946746974
626	0.2946084137
627	0.2945278492
628	0.2944783087
629	0.2944386869
630	0.2943271059
631	0.2942461045
632	0.2941536515
633	0.2940453055
634	0.29392786
635	0.2938277516
636	0.2937384046
637	0.2936595778
638	0.2935471649
639	0.2934517407
640	0.2933848965
641	0.2932730822
642	0.2931679901
643	0.293049514
644	0.2929990633
645	0.2929082918
646	0.2928001478
647	0.2927190413
648	0.2926483623
649	0.2925592508
650	0.2924574784
651	0.2923359441
652	0.2922861153
653	0.2922123408
654	0.2921026785
655	0.2920200498
656	0.2919160679
657	0.2917739437
658	0.2916949493
659	0.2915981765
660	0.2915358027
661	0.2914932263
662	0.2913875549
663	0.2913270879
664	0.2912392483
665	0.2911868347
666	0.2911014503
667	0.2909986523
668	0.2909522797
669	0.2909000735
670	0.2908304578
671	0.29078566
672	0.2907002442
673	0.2905505392
674	0.290498805
675	0.2903993288
676	0.2903123912
677	0.2902144952
678	0.2901399837
679	0.2900725868
680	0.2899428315
681	0.2898765038
682	0.2898165977
683	0.2897647367
684	0.2896881467
685	0.289587891
686	0.2895485233
687	0.2894527343
688	0.2893594298
689	0.2893065401
690	0.2892640843
691	0.2891233878
692	0.2890041615
693	0.2889751567
694	0.2889262628
695	0.2887975689
696	0.2887275206
697	0.2886262247
698	0.2885209429
699	0.2884851725
700	0.288395195
701	0.2882545291
702	0.2881592284
703	0.2880966209
704	0.287954632
705	0.2879081739
706	0.2878405972
707	0.287765307
708	0.2876804894
709	0.2876159377
710	0.2875515684
711	0.2874850451
712	0.28739736
713	0.287290976
714	0.2872526216
715	0.287175904
716	0.2871210939
717	0.2870259279
718	0.286966494
719	0.2868470262
720	0.2867057012
721	0.2866407927
722	0.2865652179
723	0.2864971529
724	0.2863957968
725	0.2863477013
726	0.2862500125
727	0.2861852145
728	0.2861225934
729	0.2860606984
730	0.2859042145
731	0.2858362217
732	0.285768534
733	0.2856971253
734	0.2855790837
735	0.2854409956
736	0.285394852
737	0.2853150597
738	0.2852298643
739	0.2851669492
740	0.2851160039
741	0.2850233902
742	0.2849796355
743	0.2848993066
744	0.2848097759
745	0.2847330898
746	0.284679732
747	0.2846299328
748	0.2845596258
749	0.2844776474
750	0.2843595152
751	0.2842719216
752	0.28420865
753	0.2841327837
754	0.2840611784
755	0.2839745828
756	0.2838979719
757	0.2837910373
758	0.2837517069
759	0.2836919864
760	0.2836001954
761	0.2835466904
762	0.2834597381
763	0.2834164476
764	0.2833451391
765	0.2832921886
766	0.2832287857
767	0.2831803938
768	0.2831386734
769	0.2830873052
770	0.2830189955
771	0.2829519338
772	0.2828835044
773	0.2828294489
774	0.2827511593
775	0.2826749936
776	0.2825863197
777	0.2825285422
778	0.282450117
779	0.2824063872
780	0.2823227888
781	0.2822502117
782	0.2821883792
783	0.2821241956
784	0.2820563154
785	0.2820112593
786	0.2819641596
787	0.2818875326
788	0.2817926152
789	0.2817403651
790	0.2816598207
791	0.2815939127
792	0.2815314899
793	0.2814636766
794	0.2813868285
795	0.2813180057
796	0.2812437464
797	0.2811947594
798	0.2811260002
799	0.281086402
800	0.281014102
801	0.2809748711
802	0.2808928808
803	0.2808257413
804	0.2807178114
805	0.2806866488
806	0.2806075272
807	0.2805234459
808	0.2804631384
809	0.2804178664
810	0.2803454476
811	0.2803123997
812	0.2802803478
813	0.2802302291
814	0.2801660781
815	0.2800516254
816	0.2799900627
817	0.2799425871
818	0.2798864062
819	0.2798010148
820	0.2797035173
821	0.2796573981
822	0.2795920744
823	0.2795372003
824	0.2794787812
825	0.2794089904
826	0.2793505948
827	0.2792810304
828	0.2792184356
829	0.2791457493
830	0.2790550431
831	0.2790167616
832	0.2789697376
833	0.2789222705
834	0.2788853111
835	0.2787947564
836	0.2787620133
837	0.2786651275
838	0.2785965757
839	0.2784911099
840	0.2784355738
841	0.278370899
842	0.2782952
843	0.2782325466
844	0.2781878482
845	0.2781393841
846	0.278073446
847	0.2780180391
848	0.277908794
849	0.277839192
850	0.2777992286
851	0.2777175141
852	0.2776347301
853	0.2775874981
854	0.2775303245
855	0.2774768137
856	0.2774448779
857	0.2773695024
858	0.277333208
859	0.2772687618
860	0.2772225745
861	0.2771294852
862	0.277048192
863	0.2769901792
864	0.2769602136
865	0.2769178205
866	0.2768667598
867	0.276761344
868	0.2767122619
869	0.2766335442
870	0.2765858451
871	0.2764881516
872	0.2764177011
873	0.2762953825
874	0.2762603364
875	0.2762112274
876	0.2761436531
877	0.2760845187
878	0.2760456747
879	0.2759431739
880	0.2758988925
881	0.2757899707
882	0.2757046099
883	0.2756292263
884	0.2755586175
885	0.2754845027
886	0.2754149766
887	0.2753437664
888	0.275276318
889	0.2752326271
890	0.2751730861
891	0.2751090391
892	0.2750511821
893	0.2749661841
894	0.2749212539
895	0.2748553598
896	0.2748091944
897	0.2747852954
898	0.2747101229
899	0.2746772483
900	0.2746107654
901	0.2745730148
902	0.2744880977
903	0.2744291773
904	0.2743930791
905	0.274323425
906	0.2742932046
907	0.2742624264
908	0.2741898315
909	0.2741509611
910	0.2741027802
911	0.2740286581
912	0.2739498104
913	0.2738731556
914	0.2737986396
915	0.2737369648
916	0.2736996476
917	0.2736598413
918	0.273645849
919	0.2735606036
920	0.2734813697
921	0.2734220956
922	0.2733670009
923	0.2732877134
924	0.2732354146
925	0.2731609011
926	0.2730884688
927	0.2730395676
928	0.272971205
929	0.2728883545
930	0.272847604
931	0.2728117694
932	0.2727790857
933	0.2727339819
934	0.2726997216
935	0.2726502612
936	0.2726000047
937	0.2724972276
938	0.2724628689
939	0.2724161739
940	0.2723651518
941	0.2722896761
942	0.2722314222
943	0.2721667471
944	0.2721201955
945	0.2720786327
946	0.2719873862
947	0.2719384951
948	0.2719113804
949	0.2718346637
950	0.2717280277
951	0.2716646156
952	0.2716182176
953	0.2715838131
954	0.2715530508
955	0.2715009974
956	0.2714478056
957	0.2713787272
958	0.2713268763
959	0.2712817869
960	0.2712532561
961	0.2711945209
962	0.2711490325
963	0.2711156205
964	0.2710740046
965	0.2709969328
966	0.2709631112
967	0.2709201613
968	0.2708118466
969	0.2707565314
970	0.2706887802
971	0.2706513554
972	0.2705732732
973	0.2705245632
974	0.2704272614
975	0.270380388
976	0.2703357765
977	0.2702994914
978	0.2702597105
979	0.2702011112
980	0.2701468264
981	0.2701020587
982	0.2699985276
983	0.2699600098
984	0.26990634
985	0.2698690445
986	0.2698105957
987	0.269780253
988	0.2696908258
989	0.2696043182
990	0.2695687302
991	0.2695167461
992	0.26946542
993	0.2694103352
994	0.269340097
995	0.2692987139
996	0.269281201
997	0.2692422916
998	0.2691646494
999	0.2690661313
